_c0;mdate;key;author;author1;title;journal;volume;month;year;__len;cdrom;ee;author2;author3;author4;author5;author6;pages;url;publtype;number;author7;author8;author9;cite;ee1;booktitle;reviewid;rating;crossref,,,
0;2002-01-03;persons/CoddD74;E. F. Codd;C. J. Date;Interactive Support for Non-Programmers: The Relational and Network Approaches.;IBM Research Report, San Jose, California;RJ1400;June;1974;200619;;;;;;;;;;;;;;;;;;;;,
1;2002-01-03;persons/Hall74;Patrick A. V. Hall;;Common Subexpression Identification in General Algebraic Systems.;Technical Rep. UKSC 0060, IBM United Kingdom Scientific Centre;;November;1974;200619;;;;;;;;;;;;;;;;;;;;,,
2;2002-01-03;persons/Codd81;E. F. Codd;;The Capabilities of Relational Database Management Systems.;IBM Research Report, San Jose, California;RJ3132;May;1981;200619;ibmTR/rj3132.pdf;db/labs/ibm/RJ3132.html;;;;;;;;;;;;;;;;;;,
3;2002-01-03;persons/Tresch96;Markus Tresch;;Principles of Distributed Object Database Languages.;technical Report 248, ETH Zürich, Dept. of Computer Science;;July;1996;200619;;;;;;;;;;;;;;;;;;;;,
4;2002-01-03;persons/Codd72;E. F. Codd;;Relational Completeness of Data Base Sublanguages.;In: R. Rustin (ed.): Database Systems: 65-98, Prentice Hall and IBM Research Report RJ 987, San Jose, California;;March;1972;200619;ibmTR/rj987.pdf;db/labs/ibm/RJ987.html;;;;;;;;;;;;;;;;;;
5;2002-01-03;persons/Codd71a;E. F. Codd;;Further Normalization of the Data Base Relational Model.;IBM Research Report, San Jose, California;RJ909;August;1971;200619;ibmTR/rj909.pdf;db/labs/ibm/RJ909.html;;;;;;;;;;;;;;;;;;,
6;2002-01-03;persons/Codd71;E. F. Codd;;Data Base Sublanguage Founded on the Relational Calculus.;IBM Research Report, San Jose, California;RJ893;July;1971;200619;;;;;;;;;;;;;;;;;;;;,
7;2002-01-03;persons/Codd69;E. F. Codd;;Derivability, Redundancy and Consistency of Relations Stored in Large Data Banks.;IBM Research Report, San Jose, California;RJ599;August;1969;200619;ibmTR/rj599.pdf;db/labs/ibm/RJ599.html;;;;;;;;;;;;;;;;;;
8;2002-01-03;persons/Codd71b;E. F. Codd;;Normalized Data Base Structure: A Brief Tutorial.;IBM Research Report, San Jose, California;RJ935;November;1971;200619;;;;;;;;;;;;;;;;;;;;,
9;2012-02-27;persons/CasperGGGHLR12;Markus Casper;Gayane Grigoryan;Analysis of projected hydrological behavior of catchments based on signature indices;Hydrology and Earth System Sciences;16;;2012;200619;;http://dx.doi.org/10.5194/hess-16-409-2012;Oliver Gronz;Oliver Gutjahr;Günther Heinemann;Rita Ley;Andreas Rock;409-421;http://dx.doi.org/10.5194/hess-16-409-2012;;;;;;;;;;;,,,
10;2012-02-20;persons/LeyCHM11;Rita Ley;Markus Casper;Catchment classification by runoff behaviour with self-organizing maps (SOM);Hydrology and Earth System Sciences;15;;2011;200619;;http://dx.doi.org/10.5194/hess-15-2947-2011;Hugo Hellebrand;Ralf Merz;;;;2947-2962;http://dx.doi.org/10.5194/hess-15-2947-2011;;;;;;;;;;;,,,
11;2011-12-29;persons/Ley95;Michael Ley;;DBELP: A WWW Bibliography on Databases and Logic Programming;Compulog Newsletter;;;1995;200619;;;;;;;;;http://www.informatik.uni-trier.de/~ley/db/about/compulog.ps;informal publication;;;;;;;;;;,,,
18;2011-10-14;reference/wikipedia/JonKleinberg;;;Jon Kleinberg;Wikipedia;;;2011;200619;;http://en.wikipedia.org/wiki/Jon_Kleinberg;;;;;;;;;;;;;;;;;;,,,
19;2011-10-14;reference/wikipedia/DennisRitchie;;;Dennis Ritchie;Wikipedia;;;2011;200619;;http://en.wikipedia.org/wiki/Dennis_Ritchie;;;;;;;;;;;;;;;;;;,,,
20;2011-10-14;reference/wikipedia/PeterShor;;;Peter Shor;Wikipedia;;;2011;200619;;http://en.wikipedia.org/wiki/Peter_Shor;;;;;;;;;;;;;;;;;;,,,
21;2011-10-14;reference/wikipedia/MadhuSudan;;;Madhu Sudan;Wikipedia;;;2011;200619;;http://en.wikipedia.org/wiki/Madhu_Sudan;;;;;;;;;;;;;;;;;;,,,
22;2008-08-05;journals/ftcit/Kramer07;Gerhard Kramer;;Topics in Multi-User Information Theory.;Foundations and Trends in Communications and Information Theory;4;;2007;200619;;http://dx.doi.org/10.1561/0100000028;;;;;;265-444;db/journals/ftcit/ftcit4.html#Kramer07;;4/5;;;;;;;;;,,,
23;2009-09-11;journals/ftcit/LiangPS09;Yingbin Liang;H. Vincent Poor;Information Theoretic Security.;Foundations and Trends in Communications and Information Theory;5;;2009;200619;;http://dx.doi.org/10.1561/0100000036;Shlomo Shamai;;;;;355-580;db/journals/ftcit/ftcit5.html#LiangPS09;;4-5;;;;;;;;;,,,
24;2008-05-21;journals/ftcit/HaroutunianHH07;Evgueni A. Haroutunian;Mariam E. Haroutunian;Reliability Criteria in Information Theory and in Statistical Hypothesis Testing.;Foundations and Trends in Communications and Information Theory;4;;2007;200619;;http://dx.doi.org/10.1561/0100000008;Ashot N. Harutyunyan;;;;;97-263;db/journals/ftcit/ftcit4.html#HaroutunianHH07;;2/3;;;;;;;;;,,,
25;2012-03-09;journals/ftcit/IgnatenkoW12;Tanya Ignatenko;Frans M. J. Willems;Biometric Security from an Information-Theoretical Perspective.;Foundations and Trends in Communications and Information Theory;7;;2012;200619;;http://dx.doi.org/10.1561/0100000051;;;;;;135-316;db/journals/ftcit/ftcit7.html#IgnatenkoW12;;2-3;;;;;;;;;,,,
26;2014-01-06;journals/ftcit/ShangC13;Xiaohu Shang;Biao Chen;Gaussian Interference Channels: An Information Theoretic Point of View.;Foundations and Trends in Communications and Information Theory;10;;2013;200619;;http://dx.doi.org/10.1561/0100000071;;;;;;247-378;db/journals/ftcit/ftcit10.html#ShangC13;;3;;;;;;;;;,,,
27;2012-09-19;journals/ftcit/BiglieriGL12;Ezio Biglieri;Emanuele Grossi;Random-Set Theory and Wireless Communications.;Foundations and Trends in Communications and Information Theory;7;;2012;200619;;http://dx.doi.org/10.1561/0100000054;Marco Lops;;;;;317-462;db/journals/ftcit/ftcit7.html#BiglieriGL12;;4;;;;;;;;;,,,
28;2008-05-21;journals/ftcit/OggierBV07;Frédérique E. Oggier;Jean-Claude Belfiore;Cyclic Division Algebras: A Tool for Space-Time Coding.;Foundations and Trends in Communications and Information Theory;4;;2007;200619;;http://dx.doi.org/10.1561/0100000016;Emanuele Viterbo;;;;;1-95;db/journals/ftcit/ftcit4.html#OggierBV07;;1;;;;;;;;;,,,
29;2012-10-19;journals/ftcit/Gutierrez-GutierrezC12;Jesús Gutiérrez-Gutiérrez;Pedro M. Crespo;Block Toeplitz Matrices: Asymptotic Results and Applications.;Foundations and Trends in Communications and Information Theory;8;;2012;200619;;http://dx.doi.org/10.1561/0100000066;;;;;;179-257;db/journals/ftcit/ftcit8.html#Gutierrez-GutierrezC12;;3;;;;;;;;;,,,
30;2009-01-13;journals/ftcit/FabregasC08;Albert Guillen i Fabregas;Giuseppe Caire;Bit-Interleaved Coded Modulation.;Foundations and Trends in Communications and Information Theory;5;;2008;200619;;http://dx.doi.org/10.1561/0100000019;;;;;;1-153;db/journals/ftcit/ftcit5.html#FabregasC08;;1-2;;;;;;;;;,,,
31;2008-05-21;journals/ftcit/JorswieckB06;Eduard A. Jorswieck;Holger Boche;Majorization and Matrix-Monotone Functions in Wireless Communications.;Foundations and Trends in Communications and Information Theory;3;;2006;200619;;http://dx.doi.org/10.1561/0100000026;;;;;;553-701;db/journals/ftcit/ftcit3.html#JorswieckB06;;6;;;;;;;;;,,,
32;2008-05-21;journals/ftcit/OggierV04;Frédérique E. Oggier;Emanuele Viterbo;Algebraic Number Theory and Code Design for Rayleigh Fading Channels.;Foundations and Trends in Communications and Information Theory;1;;2004;200619;;http://dx.doi.org/10.1561/0100000003;;;;;;;db/journals/ftcit/ftcit1.html#OggierV04;;3;;;;;;;;;,,,
33;2009-09-11;journals/ftcit/WangKV09;Qing Wang;Sanjeev R. Kulkarni;Universal Estimation of Information Measures for Analog Sources.;Foundations and Trends in Communications and Information Theory;5;;2009;200619;;http://dx.doi.org/10.1561/0100000021;Sergio Verdú;;;;;265-353;db/journals/ftcit/ftcit5.html#WangKV09;;3;;;;;;;;;,,,
34;2012-10-19;journals/ftcit/Sasoglu12;Eren Sasoglu;;Polarization and Polar Codes.;Foundations and Trends in Communications and Information Theory;8;;2012;200619;;http://dx.doi.org/10.1561/0100000041;;;;;;259-381;db/journals/ftcit/ftcit8.html#Sasoglu12;;4;;;;;;;;;,,,
35;2010-12-30;journals/ftcit/Merhav10;Neri Merhav;;Statistical Physics and Information Theory.;Foundations and Trends in Communications and Information Theory;6;;2010;200619;;http://dx.doi.org/10.1561/0100000052;;;;;;1-212;db/journals/ftcit/ftcit6.html#Merhav10;;1-2;;;;;;;;;,,,
36;2014-01-06;journals/ftcit/RaginskyS13;Maxim Raginsky;Igal Sason;Concentration of Measure Inequalities in Information Theory, Communications, and Coding.;Foundations and Trends in Communications and Information Theory;10;;2013;200619;;http://dx.doi.org/10.1561/0100000064;;;;;;1-246;db/journals/ftcit/ftcit10.html#RaginskyS13;;1-2;;;;;;;;;,
37;2013-10-23;journals/ftcit/OggierD13;Frédérique E. Oggier;Anwitaman Datta;Coding Techniques for Repairability in Networked Distributed Storage Systems.;Foundations and Trends in Communications and Information Theory;9;;2013;200619;;http://dx.doi.org/10.1561/0100000068;;;;;;383-466;db/journals/ftcit/ftcit9.html#OggierD13;;4;;;;;;;;;,,,
38;2012-09-19;journals/ftcit/SimeoneLSSZPS12;Osvaldo Simeone;Nathan Levy;Cooperative Wireless Cellular Systems: An Information-Theoretic View.;Foundations and Trends in Communications and Information Theory;8;;2012;200619;;http://dx.doi.org/10.1561/0100000048;Amichai Sanderovich;Oren Somekh;Benjamin M. Zaidel;H. Vincent Poor;Shlomo Shamai;1-177;db/journals/ftcit/ftcit8.html#SimeoneLSSZPS12;;1-2;;;;;;;;;,,,
39;2011-06-14;journals/ftcit/ShokrollahiL09;Mohammad Amin Shokrollahi;Michael Luby;Raptor Codes.;Foundations and Trends in Communications and Information Theory;6;;2009;200619;;http://dx.doi.org/10.1561/0100000060;;;;;;213-322;db/journals/ftcit/ftcit6.html#ShokrollahiL09;;3-4;;;;;;;;;,,,
40;2008-05-21;journals/ftcit/YeungLCZ05a;Raymond W. Yeung;Shuo-Yen Robert Li;Network Coding Theory - Part II: Multiple Source.;Foundations and Trends in Communications and Information Theory;2;;2005;200619;;http://dx.doi.org/10.1561/0100000007II;Ning Cai;Zhen Zhang;;;;;db/journals/ftcit/ftcit2.html#YeungLCZ05a;;5;;;;;;;;;,,,
41;2014-10-09;journals/ftcit/Tan14;Vincent Y. F. Tan;;Asymptotic Estimates in Information Theory with Non-Vanishing Error Probabilities.;Foundations and Trends in Communications and Information Theory;11;;2014;200619;;http://dx.doi.org/10.1561/0100000086;;;;;;1-184;db/journals/ftcit/ftcit11.html#Tan14;;1-2;;;;;;;;;,,,
42;2008-05-21;journals/ftcit/LandH06;Ingmar Land;Johannes B. Huber;Information Combining.;Foundations and Trends in Communications and Information Theory;3;;2006;200619;;http://dx.doi.org/10.1561/0100000013;;;;;;;db/journals/ftcit/ftcit3.html#LandH06;;1/2;;;;;;;;;,,,
43;2008-05-21;journals/ftcit/BiglieriT04;Ezio Biglieri;Giorgio Taricco;Transmission and Reception with Multiple Antennas: Theoretical Foundations.;Foundations and Trends in Communications and Information Theory;1;;2004;200619;;http://dx.doi.org/10.1561/0100000002;;;;;;;db/journals/ftcit/ftcit1.html#BiglieriT04;;2;;;;;;;;;,,,
44;2014-02-26;journals/ftcit/GibsonH14;Jerry D. Gibson;Jing Hu;Rate Distortion Bounds for Voice and Video.;Foundations and Trends in Communications and Information Theory;10;;2014;200619;;http://dx.doi.org/10.1561/0100000061;;;;;;379-514;db/journals/ftcit/ftcit10.html#GibsonH14;;4;;;;;;;;;,,,
