incollection_dblp100
;mdate;key;publtype;author;title;year;booktitle;ee;crossref;url;__len;author1;author2;author3;pages;author4;author5;author6;author7;author8
0;2011-11-25;reference/algo/Makinen08;encyclopedia entry;Veli Mäkinen;Compressed Suffix Array.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_82;reference/algo/2008;db/reference/algo/algo2008.html#Makinen08;16835;;;;;;;;;
1;2011-11-25;reference/algo/X08o;encyclopedia entry;;Atomic Scan.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_41;reference/algo/2008;db/reference/algo/algo2008.html#X08o;16835;;;;;;;;;
2;2011-11-25;reference/algo/Huang08a;encyclopedia entry;Li-Sha Huang;General Equilibrium.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_160;reference/algo/2008;db/reference/algo/algo2008.html#Huang08a;16835;;;;;;;;;
3;2015-01-18;reference/algo/Wulff-Nilsen15;encyclopedia entry;Christian Wulff-Nilsen;Approximate Distance Oracles with Improved Query Time.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_568-1;reference/algo/2015;db/reference/algo/algo2015.html#Wulff-Nilsen15;16835;;;;;;;;;
4;2011-11-25;reference/algo/X08br;encyclopedia entry;;Shortest Route.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_373;reference/algo/2008;db/reference/algo/algo2008.html#X08br;16835;;;;;;;;;
5;2011-11-25;reference/algo/Fagerberg08b;encyclopedia entry;Rolf Fagerberg;String Sorting.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_408;reference/algo/2008;db/reference/algo/algo2008.html#Fagerberg08b;16835;;;;;;;;;
6;2011-11-25;reference/algo/ChenD08b;encyclopedia entry;Xi Chen;Non-approximability of Bimatrix Nash Equilibria.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_258;reference/algo/2008;db/reference/algo/algo2008.html#ChenD08b;16835;Xiaotie Deng;;;;;;;;
7;2011-11-25;reference/algo/NaFGP08;encyclopedia entry;Joong Chae Na;Two-Dimensional Pattern Indexing.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_442;reference/algo/2008;db/reference/algo/algo2008.html#NaFGP08;16835;Paolo Ferragina;Raffaele Giancarlo;Kunsoo Park;;;;;;
8;2011-11-25;reference/algo/Johnson08;encyclopedia entry;David S. Johnson;Bin Packing.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_49;reference/algo/2008;db/reference/algo/algo2008.html#Johnson08;16835;;;;;;;;;
9;2011-11-25;reference/algo/KontogiannisPS08;encyclopedia entry;Spyros C. Kontogiannis;Approximations of Bimatrix Nash Equilibria.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_30;reference/algo/2008;db/reference/algo/algo2008.html#KontogiannisPS08;16835;Panagiota N. Panagopoulou;Paul G. Spirakis;;;;;;;
10;2011-11-25;reference/algo/Langberg08;encyclopedia entry;Michael Langberg;Graph Coloring.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_170;reference/algo/2008;db/reference/algo/algo2008.html#Langberg08;16835;;;;;;;;;
11;2011-11-25;reference/algo/Klein08a;encyclopedia entry;Rolf Klein;Geometric Dilation of Geometric Networks.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_166;reference/algo/2008;db/reference/algo/algo2008.html#Klein08a;16835;;;;;;;;;
12;2011-11-25;reference/algo/Takeda08;encyclopedia entry;Masayuki Takeda;Compressed Pattern Matching.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_81;reference/algo/2008;db/reference/algo/algo2008.html#Takeda08;16835;;;;;;;;;
13;2011-11-25;reference/algo/Schmidt08;encyclopedia entry;Markus Schmidt;Packet Switching in Multi-Queue Switches.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_274;reference/algo/2008;db/reference/algo/algo2008.html#Schmidt08;16835;;;;;;;;;
14;2011-11-25;reference/algo/Manasse08;encyclopedia entry;Mark S. Manasse;Ski Rental Problem.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_378;reference/algo/2008;db/reference/algo/algo2008.html#Manasse08;16835;;;;;;;;;
15;2011-11-25;reference/algo/Ambainis08;encyclopedia entry;Andris Ambainis;Quantum Algorithm for Element Distinctness.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_306;reference/algo/2008;db/reference/algo/algo2008.html#Ambainis08;16835;;;;;;;;;
16;2011-11-25;reference/algo/X08ca;encyclopedia entry;;String.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_407;reference/algo/2008;db/reference/algo/algo2008.html#X08ca;16835;;;;;;;;;
17;2011-11-25;reference/algo/LeoneNR08;encyclopedia entry;Pierre Leone;Randomized Energy Balance Algorithms in Sensor Networks.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_323;reference/algo/2008;db/reference/algo/algo2008.html#LeoneNR08;16835;Sotiris E. Nikoletseas;José D. P. Rolim;;;;;;;
18;2015-01-18;reference/algo/Mestre15;encyclopedia entry;Julián Mestre;Subset Sum Algorithm for Bin Packing.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_496-1;reference/algo/2015;db/reference/algo/algo2015.html#Mestre15;16835;;;;;;;;;
19;2011-11-25;reference/algo/Charron-BostS08;encyclopedia entry;Bernadette Charron-Bost;Consensus with Partial Synchrony.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_91;reference/algo/2008;db/reference/algo/algo2008.html#Charron-BostS08;16835;André Schiper;;;;;;;;
20;2015-01-18;reference/algo/KumarM0S15;encyclopedia entry;V. S. Anil Kumar;Minimum Weighted Completion Time.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_240-2;reference/algo/2015;db/reference/algo/algo2015.html#KumarM0S15;16835;Madhav V. Marathe;Srinivasan Parthasarathy 0002;Aravind Srinivasan;;;;;;
21;2011-11-25;reference/algo/Niedermeier08;encyclopedia entry;Rolf Niedermeier;Data Reduction for Domination in Graphs.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_99;reference/algo/2008;db/reference/algo/algo2008.html#Niedermeier08;16835;;;;;;;;;
22;2011-11-25;reference/algo/Furer08;encyclopedia entry;Martin Fürer;Degree-Bounded Trees.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_104;reference/algo/2008;db/reference/algo/algo2008.html#Furer08;16835;;;;;;;;;
23;2011-11-25;reference/algo/Nayak08;encyclopedia entry;Ashwin Nayak;Quantum Algorithm for Checking Matrix Identities.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_303;reference/algo/2008;db/reference/algo/algo2008.html#Nayak08;16835;;;;;;;;;
24;2011-11-25;reference/algo/X08ct;encyclopedia entry;;VCG.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_456;reference/algo/2008;db/reference/algo/algo2008.html#X08ct;16835;;;;;;;;;
25;2015-01-18;reference/algo/CrochemoreL15;encyclopedia entry;Maxime Crochemore;Multiple String Matching.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_366-2;reference/algo/2015;db/reference/algo/algo2015.html#CrochemoreL15;16835;Thierry Lecroq;;;;;;;;
26;2011-11-25;reference/algo/Guo08;encyclopedia entry;Jiong Guo;Undirected Feedback Vertex Set.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_450;reference/algo/2008;db/reference/algo/algo2008.html#Guo08;16835;;;;;;;;;
27;2011-11-25;reference/algo/Kratsch08;encyclopedia entry;Dieter Kratsch;Exact Algorithms for Dominating Set.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_132;reference/algo/2008;db/reference/algo/algo2008.html#Kratsch08;16835;Fedor V. Fomin;Fabrizio Grandoni;;;;;;;
29;2011-11-25;reference/algo/Kontogiannis08;encyclopedia entry;Spyros C. Kontogiannis;Computing Pure Equilibria in the Game of Parallel Links.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_87;reference/algo/2008;db/reference/algo/algo2008.html#Kontogiannis08;16835;;;;;;;;;
31;2011-11-25;reference/algo/X08dh;encyclopedia entry;;Weighted Caching.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_475;reference/algo/2008;db/reference/algo/algo2008.html#X08dh;16835;;;;;;;;;
32;2011-11-25;reference/algo/X08al;encyclopedia entry;;Extremal Problems.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_138;reference/algo/2008;db/reference/algo/algo2008.html#X08al;16835;;;;;;;;;
33;2011-11-25;reference/algo/FisherB08;encyclopedia entry;Nathan Fisher;Rate-Monotonic Scheduling.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_334;reference/algo/2008;db/reference/algo/algo2008.html#FisherB08;16835;Sanjoy K. Baruah;;;;;;;;
34;2011-11-25;reference/algo/Chekuri08;encyclopedia entry;Chandra Chekuri;Multicommodity Flow, Well-linked Terminals and Routing Problems.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_244;reference/algo/2008;db/reference/algo/algo2008.html#Chekuri08;16835;;;;;;;;;
35;2015-01-18;reference/algo/KimWWT15;encyclopedia entry;Donghyun Kim;Fault-Tolerant Connected Dominating Set.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_622-1;reference/algo/2015;db/reference/algo/algo2015.html#KimWWT15;16835;Wei Wang;Weili Wu;Alade O. Tokuta;;;;;;
36;2011-11-25;reference/algo/X08dg;encyclopedia entry;;Weighted Bipartite Matching.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_474;reference/algo/2008;db/reference/algo/algo2008.html#X08dg;16835;;;;;;;;;
37;2011-11-25;reference/algo/Wang08a;encyclopedia entry;Chengwen Chris Wang;O(log log n)-competitive Binary Search Tree.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_263;reference/algo/2008;db/reference/algo/algo2008.html#Wang08a;16835;;;;;;;;;
38;2015-01-18;reference/algo/Lopez-Ortiz15;encyclopedia entry;Alejandro López-Ortiz;Alternative Performance Measures in Online Algorithms.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_13-2;reference/algo/2015;db/reference/algo/algo2015.html#Lopez-Ortiz15;16835;;;;;;;;;
39;2013-04-29;reference/algo/YapS08;encyclopedia entry;Chee-Keng Yap;Robust Geometric Computation.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_349;reference/algo/2008;db/reference/algo/algo2008.html#YapS08;16835;Vikram Sharma 0001;;;;;;;;
40;2015-01-18;reference/algo/Cormode15;encyclopedia entry;Graham Cormode;AMS Sketch.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_578-1;reference/algo/2015;db/reference/algo/algo2015.html#Cormode15;16835;;;;;;;;;
41;2011-11-25;reference/algo/Navarro08;encyclopedia entry;Gonzalo Navarro;Approximate Regular Expression Matching.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_22;reference/algo/2008;db/reference/algo/algo2008.html#Navarro08;16835;;;;;;;;;
42;2011-11-25;reference/algo/Vitter08;encyclopedia entry;Jeffrey Scott Vitter;External Sorting and Permuting.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_137;reference/algo/2008;db/reference/algo/algo2008.html#Vitter08;16835;;;;;;;;;
43;2015-01-18;reference/algo/Kreutzer15;encyclopedia entry;Stephan Kreutzer;Nowhere Crownful Classes of Directed Graphs.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_694-1;reference/algo/2015;db/reference/algo/algo2015.html#Kreutzer15;16835;;;;;;;;;
44;2011-11-25;reference/algo/Kuhn08;encyclopedia entry;Fabian Kuhn;Local Approximation of Covering and Packing Problems.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_209;reference/algo/2008;db/reference/algo/algo2008.html#Kuhn08;16835;;;;;;;;;
45;2015-01-18;reference/algo/Barbay15;encyclopedia entry;Jérémy Barbay;Succinct and Compressed Data Structures for Permutations and Integer Functions.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_411-2;reference/algo/2015;db/reference/algo/algo2015.html#Barbay15;16835;;;;;;;;;
46;2011-11-25;reference/algo/McKay08;encyclopedia entry;Brendan D. McKay;Graph Isomorphism.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_172;reference/algo/2008;db/reference/algo/algo2008.html#McKay08;16835;;;;;;;;;
47;2011-11-25;reference/algo/Konjevod08;encyclopedia entry;Goran Konjevod;Separators in Graphs.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_362;reference/algo/2008;db/reference/algo/algo2008.html#Konjevod08;16835;;;;;;;;;
48;2015-01-18;reference/algo/Amenta15;encyclopedia entry;Nina Amenta;Surface Reconstruction.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_713-1;reference/algo/2015;db/reference/algo/algo2015.html#Amenta15;16835;;;;;;;;;
49;2011-11-25;reference/algo/X08at;encyclopedia entry;;Incremental Algorithms.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_186;reference/algo/2008;db/reference/algo/algo2008.html#X08at;16835;;;;;;;;;
50;2011-11-25;reference/algo/DemetrescuI08a;encyclopedia entry;Camil Demetrescu;Single-Source Fully Dynamic Reachability.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_376;reference/algo/2008;db/reference/algo/algo2008.html#DemetrescuI08a;16835;Giuseppe F. Italiano;;;;;;;;
51;2011-11-25;reference/algo/Sahinalp08;encyclopedia entry;Süleyman Cenk Sahinalp;Edit Distance Under Block Operations.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_122;reference/algo/2008;db/reference/algo/algo2008.html#Sahinalp08;16835;;;;;;;;;
52;2015-01-18;reference/algo/Ilie15;encyclopedia entry;Lucian Ilie;Regular Expression Matching.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_340-2;reference/algo/2015;db/reference/algo/algo2015.html#Ilie15;16835;;;;;;;;;
53;2015-01-18;reference/algo/Imreh15;encyclopedia entry;Csanád Imreh;Maximizing the Minimum Machine Load.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_503-1;reference/algo/2015;db/reference/algo/algo2015.html#Imreh15;16835;;;;;;;;;
54;2011-11-25;reference/algo/Chao08a;encyclopedia entry;Kun-Mao Chao;Maximum-scoring Segment with Length Restrictions.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_226;reference/algo/2008;db/reference/algo/algo2008.html#Chao08a;16835;;;;;;;;;
55;2011-11-25;reference/algo/X08aq;encyclopedia entry;;Graphs.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_173;reference/algo/2008;db/reference/algo/algo2008.html#X08aq;16835;;;;;;;;;
56;2015-01-18;reference/algo/Mertzios15a;encyclopedia entry;George B. Mertzios;Multitolerance Graphs.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_684-1;reference/algo/2015;db/reference/algo/algo2015.html#Mertzios15a;16835;;;;;;;;;
57;2015-01-18;reference/algo/Chakrabarty15;encyclopedia entry;Deeparnab Chakrabarty;Max-Min Allocation.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_539-1;reference/algo/2015;db/reference/algo/algo2015.html#Chakrabarty15;16835;;;;;;;;;
58;2011-11-25;reference/algo/Epstein08b;encyclopedia entry;Leah Epstein;Online Interval Coloring.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_264;reference/algo/2008;db/reference/algo/algo2008.html#Epstein08b;16835;;;;;;;;;
59;2015-01-18;reference/algo/KanteN15;encyclopedia entry;Mamadou Moustapha Kanté;Minimal Dominating Set Enumeration.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_721-1;reference/algo/2015;db/reference/algo/algo2015.html#KanteN15;16835;Lhouari Nourine;;;;;;;;
60;2011-11-25;reference/algo/X08af;encyclopedia entry;;Dominating Set.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_119;reference/algo/2008;db/reference/algo/algo2008.html#X08af;16835;;;;;;;;;
61;2011-11-25;reference/algo/Yi08;encyclopedia entry;Chih-Wei Yi;Critical Range for Wireless Networks.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_95;reference/algo/2008;db/reference/algo/algo2008.html#Yi08;16835;;;;;;;;;
62;2015-01-18;reference/algo/Dey15a;encyclopedia entry;Tamal Krishna Dey;Smooth Surface and Volume Meshing.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_717-1;reference/algo/2015;db/reference/algo/algo2015.html#Dey15a;16835;;;;;;;;;
63;2011-11-25;reference/algo/KranakisK08;encyclopedia entry;Evangelos Kranakis;Mobile Agents and Exploration.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_242;reference/algo/2008;db/reference/algo/algo2008.html#KranakisK08;16835;Danny Krizanc;;;;;;;;
64;2015-01-18;reference/algo/Berg15;encyclopedia entry;Mark de Berg;Hierarchical Space Decompositions for Low-Density Scenes.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_590-1;reference/algo/2015;db/reference/algo/algo2015.html#Berg15;16835;;;;;;;;;
65;2011-11-25;reference/algo/Speckmann08;encyclopedia entry;Bettina Speckmann;Kinetic Data Structures.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_191;reference/algo/2008;db/reference/algo/algo2008.html#Speckmann08;16835;;;;;;;;;
66;2011-11-25;reference/algo/Bansal08d;encyclopedia entry;Nikhil Bansal;Shortest Elapsed Time First Scheduling.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_369;reference/algo/2008;db/reference/algo/algo2008.html#Bansal08d;16835;;;;;;;;;
67;2011-11-25;reference/algo/X08de;encyclopedia entry;;Wait-Free Shared Variables.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_471;reference/algo/2008;db/reference/algo/algo2008.html#X08de;16835;;;;;;;;;
68;2015-01-18;reference/algo/Langetepe15;encyclopedia entry;Elmar Langetepe;Robotics.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_348-2;reference/algo/2015;db/reference/algo/algo2015.html#Langetepe15;16835;;;;;;;;;
69;2011-11-25;reference/algo/Ramachandran08;encyclopedia entry;Vijaya Ramachandran;Randomized Minimum Spanning Tree.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_325;reference/algo/2008;db/reference/algo/algo2008.html#Ramachandran08;16835;;;;;;;;;
70;2011-11-25;reference/algo/Bader08a;encyclopedia entry;David A. Bader;High Performance Algorithm Engineering for Large-scale Problems.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_178;reference/algo/2008;db/reference/algo/algo2008.html#Bader08a;16835;;;;;;;;;
71;2015-01-18;reference/algo/Chrobak15;encyclopedia entry;Marek Chrobak;Algorithm DC-TREE for k -Servers on Trees.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_7-2;reference/algo/2015;db/reference/algo/algo2015.html#Chrobak15;16835;;;;;;;;;
72;2011-11-25;reference/algo/Fang08a;encyclopedia entry;Qizhi Fang;Majority Equilibrium.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_217;reference/algo/2008;db/reference/algo/algo2008.html#Fang08a;16835;;;;;;;;;
73;2011-11-25;reference/algo/Ramos08;encyclopedia entry;Edgar A. Ramos;TSP-Based Curve Reconstruction.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_440;reference/algo/2008;db/reference/algo/algo2008.html#Ramos08;16835;;;;;;;;;
74;2011-11-25;reference/algo/King08;encyclopedia entry;Valerie King;Fully Dynamic Connectivity.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_152;reference/algo/2008;db/reference/algo/algo2008.html#King08;16835;;;;;;;;;
75;2015-01-18;reference/algo/LangbergC15;encyclopedia entry;Michael Langberg;Graph Coloring.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_170-2;reference/algo/2015;db/reference/algo/algo2015.html#LangbergC15;16835;Chandra Chekuri;;;;;;;;
76;2015-01-18;reference/algo/Yeo15;encyclopedia entry;Anders Yeo;Kernelization: MaxLin Above Average.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_532-1;reference/algo/2015;db/reference/algo/algo2015.html#Yeo15;16835;;;;;;;;;
77;2011-11-25;reference/algo/Sitters08;encyclopedia entry;René A. Sitters;Generalized Two-Server Problem.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_162;reference/algo/2008;db/reference/algo/algo2008.html#Sitters08;16835;;;;;;;;;
78;2015-01-18;reference/algo/0002DC15;encyclopedia entry;Feng Wang 0002;Connected Dominating Set.;2015;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-3-642-27848-8_89-2;reference/algo/2015;db/reference/algo/algo2015.html#0002DC15;16835;Ding-Zhu Du;Xiuzhen Cheng;;;;;;;
79;2011-11-25;reference/algo/Chandra08;encyclopedia entry;Tushar Deepak Chandra;Randomization in Distributed Computing.;2008;Encyclopedia of Algorithms;http://dx.doi.org/10.1007/978-0-387-30162-4_321;reference/algo/2008;db/reference/algo/algo2008.html#Chandra08;16835;;;;;;;;;
