;inproceedings_dblp100;mdate;key;author;author.1;author2;title;pages;year;booktitle;__len;crossref;url;ee;author3;author4;author5;number;author6;author7;author8
0;1.0;2011-06-14;journals/lncs/CarstensenS91;Kai-Uwe Carstensen;Geoffrey Simmons;;Why a Hill Can't be a Valley: Representing Gestalt and Position Properties of Objects with Object Schemata.;632-644;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#CarstensenS91;http://dx.doi.org/10.1007/3-540-54594-8_83;;;;;;;
1;2.0;2011-06-14;journals/lncs/Erbach91;Gregor Erbach;;;A Flexible Parser for a Linguistic Development Environment.;74-87;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Erbach91;http://dx.doi.org/10.1007/3-540-54594-8_53;;;;;;;
2;3.0;2011-06-14;journals/lncs/CodognetN94;Philippe Codognet;Giuseppe Nardiello;;Enhancing the Constraint-Solving Power of CLP(FD) by Means of Path-Consistency Methods;39-61;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#CodognetN94;http://dx.doi.org/10.1007/3-540-59155-9_3;;;;;;;
3;4.0;2011-06-14;journals/lncs/Kanngiesser91;Siegfried Kanngießer;;;Outlines of LEU/2 Lexicology.;105-111;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Kanngiesser91;http://dx.doi.org/10.1007/3-540-54594-8_55;;;;;;;
4;5.0;2011-06-14;journals/lncs/Lang91;Ewald Lang;;;The LILOG Ontology from a Linguistic Point of View.;464-481;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Lang91;http://dx.doi.org/10.1007/3-540-54594-8_76;;;;;;;
5;6.0;2011-06-14;journals/lncs/Comon94;Hubert Comon;;;Constraints in Term Algebras: An Overview of Constraint Solving Techniques;62-67;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#Comon94;http://dx.doi.org/10.1007/3-540-59155-9_4;;;;;;;
6;7.0;2011-06-14;journals/lncs/MontanariR94;Ugo Montanari;Francesca Rossi;;Concurrency and Concurrent Constraint Programming;171-192;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#MontanariR94;http://dx.doi.org/10.1007/3-540-59155-9_10;;;;;;;
7;8.0;2011-06-14;journals/lncs/GhafoorB93;Arif Ghafoor;P. Bruce Berra;;Multimedia Database Systems.;397-411;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#GhafoorB93;http://dx.doi.org/10.1007/3-540-57507-3_20;;;;;;;
8;9.0;2011-06-14;journals/lncs/SandtG91;Rob A. van der Sandt;Bart Geurts;;Presupposition, Anaphora, and Lexical Content.;259-296;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#SandtG91;http://dx.doi.org/10.1007/3-540-54594-8_65;;;;;;;
9;10.0;2011-06-14;journals/lncs/Bosch91;Peter Bosch;;;The Bermuda Triangle: Natural Language Semantics Between Linguistics, Knowledge Representation, and Knowledge Processing.;243-258;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Bosch91;http://dx.doi.org/10.1007/3-540-54594-8_64;;;;;;;
