reference/algo/Makinen08;Veli Mäkinen
reference/algo/Huang08a;Li-Sha Huang
reference/algo/Wulff-Nilsen15;Christian Wulff-Nilsen
reference/algo/Fagerberg08b;Rolf Fagerberg
reference/algo/ChenD08b;Xi Chen
reference/algo/ChenD08b;Xiaotie Deng
reference/algo/NaFGP08;Joong Chae Na
reference/algo/NaFGP08;Paolo Ferragina
reference/algo/NaFGP08;Raffaele Giancarlo
reference/algo/NaFGP08;Kunsoo Park
reference/algo/Johnson08;David S. Johnson
reference/algo/KontogiannisPS08;Spyros C. Kontogiannis
reference/algo/KontogiannisPS08;Panagiota N. Panagopoulou
reference/algo/KontogiannisPS08;Paul G. Spirakis
reference/algo/Langberg08;Michael Langberg
reference/algo/Klein08a;Rolf Klein
reference/algo/Takeda08;Masayuki Takeda
reference/algo/Schmidt08;Markus Schmidt
reference/algo/Manasse08;Mark S. Manasse
reference/algo/Ambainis08;Andris Ambainis
reference/algo/LeoneNR08;Pierre Leone
reference/algo/LeoneNR08;Sotiris E. Nikoletseas
reference/algo/LeoneNR08;José D. P. Rolim
reference/algo/Mestre15;Julián Mestre
reference/algo/Charron-BostS08;Bernadette Charron-Bost
reference/algo/Charron-BostS08;André Schiper
reference/algo/KumarM0S15;V. S. Anil Kumar
reference/algo/KumarM0S15;Madhav V. Marathe
reference/algo/KumarM0S15;Srinivasan Parthasarathy 0002
reference/algo/KumarM0S15;Aravind Srinivasan
reference/algo/Niedermeier08;Rolf Niedermeier
reference/algo/Furer08;Martin Fürer
reference/algo/Nayak08;Ashwin Nayak
reference/algo/CrochemoreL15;Maxime Crochemore
reference/algo/CrochemoreL15;Thierry Lecroq
reference/algo/Guo08;Jiong Guo
reference/algo/Kratsch08;Dieter Kratsch
reference/algo/Kratsch08;Fedor V. Fomin
reference/algo/Kratsch08;Fabrizio Grandoni
reference/algo/Kontogiannis08;Spyros C. Kontogiannis
reference/algo/FisherB08;Nathan Fisher
reference/algo/FisherB08;Sanjoy K. Baruah
reference/algo/Chekuri08;Chandra Chekuri
reference/algo/KimWWT15;Donghyun Kim
reference/algo/KimWWT15;Wei Wang
reference/algo/KimWWT15;Weili Wu
reference/algo/KimWWT15;Alade O. Tokuta
reference/algo/Wang08a;Chengwen Chris Wang
reference/algo/Lopez-Ortiz15;Alejandro López-Ortiz
reference/algo/YapS08;Chee-Keng Yap
reference/algo/YapS08;Vikram Sharma 0001
reference/algo/Cormode15;Graham Cormode
reference/algo/Navarro08;Gonzalo Navarro
reference/algo/Vitter08;Jeffrey Scott Vitter
reference/algo/Kreutzer15;Stephan Kreutzer
reference/algo/Kuhn08;Fabian Kuhn
reference/algo/Barbay15;Jérémy Barbay
reference/algo/McKay08;Brendan D. McKay
reference/algo/Konjevod08;Goran Konjevod
reference/algo/Amenta15;Nina Amenta
reference/algo/DemetrescuI08a;Camil Demetrescu
reference/algo/DemetrescuI08a;Giuseppe F. Italiano
reference/algo/Sahinalp08;Süleyman Cenk Sahinalp
reference/algo/Ilie15;Lucian Ilie
reference/algo/Imreh15;Csanád Imreh
reference/algo/Chao08a;Kun-Mao Chao
reference/algo/Mertzios15a;George B. Mertzios
reference/algo/Chakrabarty15;Deeparnab Chakrabarty
reference/algo/Epstein08b;Leah Epstein
reference/algo/KanteN15;Mamadou Moustapha Kanté
reference/algo/KanteN15;Lhouari Nourine
reference/algo/Yi08;Chih-Wei Yi
reference/algo/Dey15a;Tamal Krishna Dey
reference/algo/KranakisK08;Evangelos Kranakis
reference/algo/KranakisK08;Danny Krizanc
reference/algo/Berg15;Mark de Berg
reference/algo/Speckmann08;Bettina Speckmann
reference/algo/Bansal08d;Nikhil Bansal
reference/algo/Langetepe15;Elmar Langetepe
reference/algo/Ramachandran08;Vijaya Ramachandran
reference/algo/Bader08a;David A. Bader
reference/algo/Chrobak15;Marek Chrobak
reference/algo/Fang08a;Qizhi Fang
reference/algo/Ramos08;Edgar A. Ramos
reference/algo/King08;Valerie King
reference/algo/LangbergC15;Michael Langberg
reference/algo/LangbergC15;Chandra Chekuri
reference/algo/Yeo15;Anders Yeo
