key;title;mdate;year;publtype;pages;url;ee;bookKey
reference/algo/Makinen08;Compressed Suffix Array.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Makinen08;http://dx.doi.org/10.1007/978-0-387-30162-4_82;reference/algo/2008
reference/algo/X08o;Atomic Scan.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08o;http://dx.doi.org/10.1007/978-0-387-30162-4_41;reference/algo/2008
reference/algo/Huang08a;General Equilibrium.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Huang08a;http://dx.doi.org/10.1007/978-0-387-30162-4_160;reference/algo/2008
reference/algo/Wulff-Nilsen15;Approximate Distance Oracles with Improved Query Time.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Wulff-Nilsen15;http://dx.doi.org/10.1007/978-3-642-27848-8_568-1;reference/algo/2015
reference/algo/X08br;Shortest Route.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08br;http://dx.doi.org/10.1007/978-0-387-30162-4_373;reference/algo/2008
reference/algo/Fagerberg08b;String Sorting.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Fagerberg08b;http://dx.doi.org/10.1007/978-0-387-30162-4_408;reference/algo/2008
reference/algo/ChenD08b;Non-approximability of Bimatrix Nash Equilibria.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#ChenD08b;http://dx.doi.org/10.1007/978-0-387-30162-4_258;reference/algo/2008
reference/algo/NaFGP08;Two-Dimensional Pattern Indexing.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#NaFGP08;http://dx.doi.org/10.1007/978-0-387-30162-4_442;reference/algo/2008
reference/algo/Johnson08;Bin Packing.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Johnson08;http://dx.doi.org/10.1007/978-0-387-30162-4_49;reference/algo/2008
reference/algo/KontogiannisPS08;Approximations of Bimatrix Nash Equilibria.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#KontogiannisPS08;http://dx.doi.org/10.1007/978-0-387-30162-4_30;reference/algo/2008
reference/algo/Langberg08;Graph Coloring.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Langberg08;http://dx.doi.org/10.1007/978-0-387-30162-4_170;reference/algo/2008
reference/algo/Klein08a;Geometric Dilation of Geometric Networks.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Klein08a;http://dx.doi.org/10.1007/978-0-387-30162-4_166;reference/algo/2008
reference/algo/Takeda08;Compressed Pattern Matching.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Takeda08;http://dx.doi.org/10.1007/978-0-387-30162-4_81;reference/algo/2008
reference/algo/Schmidt08;Packet Switching in Multi-Queue Switches.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Schmidt08;http://dx.doi.org/10.1007/978-0-387-30162-4_274;reference/algo/2008
reference/algo/Manasse08;Ski Rental Problem.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Manasse08;http://dx.doi.org/10.1007/978-0-387-30162-4_378;reference/algo/2008
reference/algo/Ambainis08;Quantum Algorithm for Element Distinctness.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Ambainis08;http://dx.doi.org/10.1007/978-0-387-30162-4_306;reference/algo/2008
reference/algo/X08ca;String.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08ca;http://dx.doi.org/10.1007/978-0-387-30162-4_407;reference/algo/2008
reference/algo/LeoneNR08;Randomized Energy Balance Algorithms in Sensor Networks.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#LeoneNR08;http://dx.doi.org/10.1007/978-0-387-30162-4_323;reference/algo/2008
reference/algo/Mestre15;Subset Sum Algorithm for Bin Packing.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Mestre15;http://dx.doi.org/10.1007/978-3-642-27848-8_496-1;reference/algo/2015
reference/algo/Charron-BostS08;Consensus with Partial Synchrony.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Charron-BostS08;http://dx.doi.org/10.1007/978-0-387-30162-4_91;reference/algo/2008
reference/algo/KumarM0S15;Minimum Weighted Completion Time.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#KumarM0S15;http://dx.doi.org/10.1007/978-3-642-27848-8_240-2;reference/algo/2015
reference/algo/Niedermeier08;Data Reduction for Domination in Graphs.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Niedermeier08;http://dx.doi.org/10.1007/978-0-387-30162-4_99;reference/algo/2008
reference/algo/Furer08;Degree-Bounded Trees.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Furer08;http://dx.doi.org/10.1007/978-0-387-30162-4_104;reference/algo/2008
reference/algo/Nayak08;Quantum Algorithm for Checking Matrix Identities.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Nayak08;http://dx.doi.org/10.1007/978-0-387-30162-4_303;reference/algo/2008
reference/algo/X08ct;VCG.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08ct;http://dx.doi.org/10.1007/978-0-387-30162-4_456;reference/algo/2008
reference/algo/CrochemoreL15;Multiple String Matching.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#CrochemoreL15;http://dx.doi.org/10.1007/978-3-642-27848-8_366-2;reference/algo/2015
reference/algo/Guo08;Undirected Feedback Vertex Set.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Guo08;http://dx.doi.org/10.1007/978-0-387-30162-4_450;reference/algo/2008
reference/algo/Kratsch08;Exact Algorithms for Dominating Set.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Kratsch08;http://dx.doi.org/10.1007/978-0-387-30162-4_132;reference/algo/2008
