journals/lncs/CarstensenS91;Why a Hill Can't be a Valley: Representing Gestalt and Position Properties of Objects with Object Schemata.;2011-06-14;1991;632-644;db/journals/lncs/lncs546.html#CarstensenS91;http://dx.doi.org/10.1007/3-540-54594-8_83;journals/lncs/1991-546
journals/lncs/Erbach91;A Flexible Parser for a Linguistic Development Environment.;2011-06-14;1991;74-87;db/journals/lncs/lncs546.html#Erbach91;http://dx.doi.org/10.1007/3-540-54594-8_53;journals/lncs/1991-546
journals/lncs/CodognetN94;Enhancing the Constraint-Solving Power of CLP(FD) by Means of Path-Consistency Methods;2011-06-14;1994;39-61;db/journals/lncs/lncs910.html#CodognetN94;http://dx.doi.org/10.1007/3-540-59155-9_3;journals/lncs/1994-910
journals/lncs/Kanngiesser91;Outlines of LEU/2 Lexicology.;2011-06-14;1991;105-111;db/journals/lncs/lncs546.html#Kanngiesser91;http://dx.doi.org/10.1007/3-540-54594-8_55;journals/lncs/1991-546
journals/lncs/Lang91;The LILOG Ontology from a Linguistic Point of View.;2011-06-14;1991;464-481;db/journals/lncs/lncs546.html#Lang91;http://dx.doi.org/10.1007/3-540-54594-8_76;journals/lncs/1991-546
journals/lncs/Comon94;Constraints in Term Algebras: An Overview of Constraint Solving Techniques;2011-06-14;1994;62-67;db/journals/lncs/lncs910.html#Comon94;http://dx.doi.org/10.1007/3-540-59155-9_4;journals/lncs/1994-910
journals/lncs/MontanariR94;Concurrency and Concurrent Constraint Programming;2011-06-14;1994;171-192;db/journals/lncs/lncs910.html#MontanariR94;http://dx.doi.org/10.1007/3-540-59155-9_10;journals/lncs/1994-910
journals/lncs/GhafoorB93;Multimedia Database Systems.;2011-06-14;1993;397-411;db/journals/lncs/lncs759.html#GhafoorB93;http://dx.doi.org/10.1007/3-540-57507-3_20;journals/lncs/1993-759
journals/lncs/SandtG91;Presupposition, Anaphora, and Lexical Content.;2011-06-14;1991;259-296;db/journals/lncs/lncs546.html#SandtG91;http://dx.doi.org/10.1007/3-540-54594-8_65;journals/lncs/1991-546
journals/lncs/Bosch91;The Bermuda Triangle: Natural Language Semantics Between Linguistics, Knowledge Representation, and Knowledge Processing.;2011-06-14;1991;243-258;db/journals/lncs/lncs546.html#Bosch91;http://dx.doi.org/10.1007/3-540-54594-8_64;journals/lncs/1991-546
journals/lncs/Habel91;Processing of Spatial Expressions in LILOG.;2011-06-14;1991;598-608;db/journals/lncs/lncs546.html#Habel91;http://dx.doi.org/10.1007/3-540-54594-8_80;journals/lncs/1991-546
journals/lncs/Imbert94;Linear Constraint Solving in CLP-Languages;2011-06-14;1994;108-127;db/journals/lncs/lncs910.html#Imbert94;http://dx.doi.org/10.1007/3-540-59155-9_7;journals/lncs/1994-910
journals/lncs/SiegelmannF93;Document Allocation In Multiprocessor Information Retrieval Systems.;2011-06-14;1993;289-310;db/journals/lncs/lncs759.html#SiegelmannF93;http://dx.doi.org/10.1007/3-540-57507-3_15;journals/lncs/1993-759
journals/lncs/Gust91;Representing Word Meanings.;2011-06-14;1991;127-142;db/journals/lncs/lncs546.html#Gust91;http://dx.doi.org/10.1007/3-540-54594-8_57;journals/lncs/1991-546
journals/lncs/RollingerH91;Introducing LILOG.;2011-06-14;1991;3-13;db/journals/lncs/lncs546.html#RollingerH91;http://dx.doi.org/10.1007/3-540-54594-8_46;journals/lncs/1991-546
journals/lncs/Konig91;Gap-Handling Mechanisma In Categorial Grammars.;2011-06-14;1991;88-101;db/journals/lncs/lncs546.html#Konig91;http://dx.doi.org/10.1007/3-540-54594-8_54;journals/lncs/1991-546
journals/lncs/ElmasriK93;A Temporal Query Language For A Conceptual Model.;2011-06-14;1993;175-190;db/journals/lncs/lncs759.html#ElmasriK93;http://dx.doi.org/10.1007/3-540-57507-3_9;journals/lncs/1993-759
journals/lncs/AngeleFLNS91;Knowledge Engineering in the Context of Related Fields of Research.;2011-06-14;1991;490-500;db/journals/lncs/lncs546.html#AngeleFLNS91;http://dx.doi.org/10.1007/3-540-54594-8_78;journals/lncs/1991-546
journals/lncs/VadapartyN93;The Decomposition Property of Non-Deterministic Databases.;2011-06-14;1993;45-63;db/journals/lncs/lncs759.html#VadapartyN93;http://dx.doi.org/10.1007/3-540-57507-3_3;journals/lncs/1993-759
journals/lncs/Eberle91;On Representing the Temporal Structure of Texts.;2011-06-14;1991;313-341;db/journals/lncs/lncs546.html#Eberle91;http://dx.doi.org/10.1007/3-540-54594-8_67;journals/lncs/1991-546
journals/lncs/Pribbenow91;Phenomena of Localization.;2011-06-14;1991;609-620;db/journals/lncs/lncs546.html#Pribbenow91;http://dx.doi.org/10.1007/3-540-54594-8_81;journals/lncs/1991-546
journals/lncs/AnderssonDSYTY93;FEMUS: A Federated Multilingual Database System.;2011-06-14;1993;359-380;db/journals/lncs/lncs759.html#AnderssonDSYTY93;http://dx.doi.org/10.1007/3-540-57507-3_18;journals/lncs/1993-759
journals/lncs/Tewari93;Efficient Parallel Recovery in Replicated Databases.;2011-06-14;1993;277-287;db/journals/lncs/lncs759.html#Tewari93;http://dx.doi.org/10.1007/3-540-57507-3_14;journals/lncs/1993-759
journals/lncs/KarabatisRS93;Correctness and Enforcement of Multidatabase Interdependencies.;2011-06-14;1993;337-358;db/journals/lncs/lncs759.html#KarabatisRS93;http://dx.doi.org/10.1007/3-540-57507-3_17;journals/lncs/1993-759
journals/lncs/FlaterY93;Towards Flexible Distributed Information Retrieval.;2011-06-14;1993;259-276;db/journals/lncs/lncs759.html#FlaterY93;http://dx.doi.org/10.1007/3-540-57507-3_13;journals/lncs/1993-759
journals/lncs/KissW91;Verb Order and Head Movement.;2011-06-14;1991;216-240;db/journals/lncs/lncs546.html#KissW91;http://dx.doi.org/10.1007/3-540-54594-8_63;journals/lncs/1991-546
journals/lncs/Schmitt91;Deductive Aspects of Three-Valued Logic.;2011-06-14;1991;394-401;db/journals/lncs/lncs546.html#Schmitt91;http://dx.doi.org/10.1007/3-540-54594-8_71;journals/lncs/1991-546
journals/lncs/Mayer91;Anaphora and Domain Restriction.;2011-06-14;1991;297-312;db/journals/lncs/lncs546.html#Mayer91;http://dx.doi.org/10.1007/3-540-54594-8_66;journals/lncs/1991-546
journals/lncs/YuCWT93;Parallel Query Processing.;2011-06-14;1993;229-258;db/journals/lncs/lncs759.html#YuCWT93;http://dx.doi.org/10.1007/3-540-57507-3_12;journals/lncs/1993-759
journals/lncs/Seifert91;Chart-Parsing of STUF Grammars.;2011-06-14;1991;51-54;db/journals/lncs/lncs546.html#Seifert91;http://dx.doi.org/10.1007/3-540-54594-8_50;journals/lncs/1991-546
journals/lncs/Rauzy94;Toupie: a Constraint Language for Model Checking;2011-06-14;1994;193-208;db/journals/lncs/lncs910.html#Rauzy94;http://dx.doi.org/10.1007/3-540-59155-9_11;journals/lncs/1994-910
journals/lncs/Clifford93;Indexical Databases.;2011-06-14;1993;153-173;db/journals/lncs/lncs759.html#Clifford93;http://dx.doi.org/10.1007/3-540-57507-3_8;journals/lncs/1993-759
journals/lncs/FranchittiK93;Amalgame: A Tool for Creating Interoperating, Persistent, Heterogeneous Components.;2011-06-14;1993;313-336;db/journals/lncs/lncs759.html#FranchittiK93;http://dx.doi.org/10.1007/3-540-57507-3_16;journals/lncs/1993-759
journals/lncs/GehaniJS93;COMPOSE: A System For Composite Specification And Detection.;2011-06-14;1993;3-15;db/journals/lncs/lncs759.html#GehaniJS93;http://dx.doi.org/10.1007/3-540-57507-3_1;journals/lncs/1993-759
journals/lncs/GadiaC93;A Relational Model and SQL-like Query Language for Spatial Databases.;2011-06-14;1993;213-225;db/journals/lncs/lncs759.html#GadiaC93;http://dx.doi.org/10.1007/3-540-57507-3_11;journals/lncs/1993-759
journals/lncs/SegevC93;A Data Model for Time-Series Analysis.;2011-06-14;1993;191-212;db/journals/lncs/lncs759.html#SegevC93;http://dx.doi.org/10.1007/3-540-57507-3_10;journals/lncs/1993-759
journals/lncs/Dorre91;The Language STUF.;2011-06-14;1991;39-50;db/journals/lncs/lncs546.html#Dorre91;http://dx.doi.org/10.1007/3-540-54594-8_49;journals/lncs/1991-546
journals/lncs/Seifert91a;Unification-ID/LP Grammars: Formalization and Parsing.;2011-06-14;1991;63-73;db/journals/lncs/lncs546.html#Seifert91a;http://dx.doi.org/10.1007/3-540-54594-8_52;journals/lncs/1991-546
journals/lncs/KloseL91;The Background Knowledge of the LILOG System.;2011-06-14;1991;455-463;db/journals/lncs/lncs546.html#KloseL91;http://dx.doi.org/10.1007/3-540-54594-8_75;journals/lncs/1991-546
journals/lncs/Emde91;Managing Lexical Knowledge in LEU/2.;2011-06-14;1991;167-179;db/journals/lncs/lncs546.html#Emde91;http://dx.doi.org/10.1007/3-540-54594-8_60;journals/lncs/1991-546
journals/lncs/Blasius91;Knowledge Based Control of the LILOG Inference Engine: Kinds of Metaknowledge.;2011-06-14;1991;428-438;db/journals/lncs/lncs546.html#Blasius91;http://dx.doi.org/10.1007/3-540-54594-8_73;journals/lncs/1991-546
journals/lncs/Fages94;Constructive Negation by Pruning and Optimizing Higher-Order Predicates for CLP and CC Languages;2011-06-14;1994;68-89;db/journals/lncs/lncs910.html#Fages94;http://dx.doi.org/10.1007/3-540-59155-9_5;journals/lncs/1994-910
journals/lncs/Wesche91;An Alternative Phrase Structure Account of Symmetric Coordination.;2011-06-14;1991;200-215;db/journals/lncs/lncs546.html#Wesche91;http://dx.doi.org/10.1007/3-540-54594-8_62;journals/lncs/1991-546
journals/lncs/Khenkhar91;Object-Oriented Representation of Depictions on the Basis of Cell Matrices.;2011-06-14;1991;645-656;db/journals/lncs/lncs546.html#Khenkhar91;http://dx.doi.org/10.1007/3-540-54594-8_84;journals/lncs/1991-546
journals/lncs/DobesN91;from Knowledge Structures to Text Structures.;2011-06-14;1991;670-684;db/journals/lncs/lncs546.html#DobesN91;http://dx.doi.org/10.1007/3-540-54594-8_86;journals/lncs/1991-546
journals/lncs/BenzschawelGLLMW91;LILOG-DB: Database Support for Knowledge Based Systems.;2013-05-08;1991;501-594;db/journals/lncs/lncs546.html#BenzschawelGLLMW91;http://dx.doi.org/10.1007/3-540-54594-8_79;journals/lncs/1991-546
journals/lncs/Kiss91;The Grammars of LILOG.;2011-06-14;1991;183-199;db/journals/lncs/lncs546.html#Kiss91;http://dx.doi.org/10.1007/3-540-54594-8_61;journals/lncs/1991-546
journals/lncs/DorreS91;A Formalism for Natural Language - STUF.;2011-06-14;1991;33-38;db/journals/lncs/lncs546.html#DorreS91;http://dx.doi.org/10.1007/3-540-54594-8_48;journals/lncs/1991-546
journals/lncs/BertinoJS93;Access Control in Object-Oriented Database Systems - Some Approaches and Issues.;2011-06-14;1993;17-44;db/journals/lncs/lncs759.html#BertinoJS93;http://dx.doi.org/10.1007/3-540-57507-3_2;journals/lncs/1993-759
journals/lncs/Rueher94;An Architecture for Cooperating Constraint Solvers on Reals;2011-06-14;1994;231-250;db/journals/lncs/lncs910.html#Rueher94;http://dx.doi.org/10.1007/3-540-59155-9_13;journals/lncs/1994-910
journals/lncs/SubramanianA93;Applying OOAD in the Design and Implementation of an Intelligent Geographic Information System.;2011-06-14;1993;127-150;db/journals/lncs/lncs759.html#SubramanianA93;http://dx.doi.org/10.1007/3-540-57507-3_7;journals/lncs/1993-759
journals/lncs/Smolka94;The Definition of Kernel Oz;2011-06-14;1994;251-292;db/journals/lncs/lncs910.html#Smolka94;http://dx.doi.org/10.1007/3-540-59155-9_14;journals/lncs/1994-910
journals/lncs/NebelS91;Attribute Description Formalisms ... and the Rest of the World.;2011-06-14;1991;439-452;db/journals/lncs/lncs546.html#NebelS91;http://dx.doi.org/10.1007/3-540-54594-8_74;journals/lncs/1991-546
journals/lncs/Fruhwirth94;Constraint Handling Rules;2011-06-14;1994;90-107;db/journals/lncs/lncs910.html#Fruhwirth94;http://dx.doi.org/10.1007/3-540-59155-9_6;journals/lncs/1994-910
journals/lncs/Bockmayr94;Solving Pseudo-Boolean Constraints;2011-06-14;1994;22-38;db/journals/lncs/lncs910.html#Bockmayr94;http://dx.doi.org/10.1007/3-540-59155-9_2;journals/lncs/1994-910
journals/lncs/Arning91;The Trace of Building a Large AI System.;2011-06-14;1991;719-733;db/journals/lncs/lncs546.html#Arning91;http://dx.doi.org/10.1007/3-540-54594-8_90;journals/lncs/1991-546
journals/lncs/LinkS91;The Treatment of Plurality in L-LILOG.;2011-06-14;1991;342-352;db/journals/lncs/lncs546.html#LinkS91;http://dx.doi.org/10.1007/3-540-54594-8_68;journals/lncs/1991-546
journals/lncs/Wilms91;The Text Understanding System LEU/2.;2011-06-14;1991;711-718;db/journals/lncs/lncs546.html#Wilms91;http://dx.doi.org/10.1007/3-540-54594-8_89;journals/lncs/1991-546
journals/lncs/SuS93;An Object-Oriented Knowledge Model for KBMS-supported Evolutioinary Prototyping of Software Systems.;2011-06-14;1993;105-125;db/journals/lncs/lncs759.html#SuS93;http://dx.doi.org/10.1007/3-540-57507-3_6;journals/lncs/1993-759
journals/lncs/Wendholt91;The Formulator.;2011-06-14;1991;685-700;db/journals/lncs/lncs546.html#Wendholt91;http://dx.doi.org/10.1007/3-540-54594-8_87;journals/lncs/1991-546
journals/lncs/LuckP91;Constructing a Context for LEU/2.;2011-06-14;1991;703-710;db/journals/lncs/lncs546.html#LuckP91;http://dx.doi.org/10.1007/3-540-54594-8_88;journals/lncs/1991-546
journals/lncs/BrauerLS91;Text Understanding - The Challenges to Come.;2011-06-14;1991;14-28;db/journals/lncs/lncs546.html#BrauerLS91;http://dx.doi.org/10.1007/3-540-54594-8_47;journals/lncs/1991-546
journals/lncs/Charlier94;Abstract Interpretation and Finite Domain Symbolic Constraints;2011-06-14;1994;147-170;db/journals/lncs/lncs910.html#Charlier94;http://dx.doi.org/10.1007/3-540-59155-9_9;journals/lncs/1994-910
journals/lncs/Maienborn91;Verbs of Motion and Position: On the Optionality of the Local Argument.;2011-06-14;1991;621-631;db/journals/lncs/lncs546.html#Maienborn91;http://dx.doi.org/10.1007/3-540-54594-8_82;journals/lncs/1991-546
journals/lncs/Rickheit91;Sortal Information in Lexical Concepts.;2011-06-14;1991;143-152;db/journals/lncs/lncs546.html#Rickheit91;http://dx.doi.org/10.1007/3-540-54594-8_58;journals/lncs/1991-546
journals/lncs/HentenryckSD94;Design, Implementation, and Evaluation of the Constraint Language cc(FD);2011-06-14;1994;293-316;db/journals/lncs/lncs910.html#HentenryckSD94;http://dx.doi.org/10.1007/3-540-59155-9_15;journals/lncs/1994-910
